size,time F_tail,time F_loop,note: each time is the average of 100 runs
10,0.0004744,0.0003985,
11,0.0004425,0.0003929,
12,0.0007965,0.0007232,
13,0.0007735,0.0007047,
14,0.0007513,0.0007188,
15,0.0007325,0.0007136,
16,0.0007417,0.0007238,
17,0.0007337,0.0007379,
18,0.0010543,0.0010429,
19,0.0010443,0.0010405,
20,0.001057,0.0010099,
21,0.0010498,0.0009703,
22,0.0010802,0.0009894,
23,0.0010467,0.000976,
24,0.0013947,0.0012863,
25,0.0013618,0.0012778,
26,0.0013788,0.0012898,
27,0.0013622,0.0012702,
28,0.0013681,0.0012898,
29,0.0013833,0.0012957,
30,0.0017045,0.0016,
31,0.0016952,0.0015965,
32,0.0016856,0.0016114,
33,0.0016806,0.001622,
34,0.0016947,0.0015945,
35,0.0016647,0.0015956,
36,0.0020354,0.0019024,
37,0.0020026,0.0019052,
38,0.0020167,0.0019101,
39,0.0020024,0.0019028,
40,0.0020099,0.0019118,
41,0.0020269,0.001901,
42,0.0023376,0.002242,
43,0.00233,0.0022071,
44,0.0023471,0.0022313,
45,0.0023187,0.0022081,
46,0.0023453,0.002234,
47,0.0023315,0.0022057,
48,0.002665,0.0025581,
49,0.0026534,0.00254,
50,0.0026643,0.0025528,
51,0.0026422,0.0025228,
52,0.0026765,0.0025313,
53,0.0026431,0.0025123,
54,0.0029933,0.0028607,
55,0.0029571,0.0028204,
56,0.0029877,0.0028791,
57,0.0029694,0.0028248,
58,0.0029842,0.0028612,
59,0.0029855,0.00281,
60,0.0033222,0.003186,
61,0.0032871,0.0031153,
62,0.0033438,0.0031,
63,0.0032807,0.0031176,
64,0.0032995,0.0031468,
65,0.0032689,0.0031226,
66,0.0036379,0.0034533,
67,0.0036035,0.0034485,
68,0.0037727,0.0034562,
69,0.0036279,0.0034897,
70,0.0036969,0.003555,
71,0.0037218,0.0034703,
72,0.0039445,0.0037974,
73,0.003911,0.0037234,
74,0.0039327,0.0037665,
75,0.003901,0.0037397,
76,0.0049795,0.0047265,
77,0.0046903,0.0037001,
78,0.0042711,0.0041111,
79,0.0044425,0.0040254,
80,0.0043477,0.0041504,
81,0.0043199,0.0041055,
82,0.0043579,0.0041381,
83,0.0041891,0.0040264,
84,0.0046361,0.0044722,
85,0.0045372,0.0043274,
86,0.0045245,0.0043603,
87,0.0045433,0.0043932,
88,0.004513,0.0043567,
89,0.0046236,0.0044055,
90,0.0048976,0.0047685,
91,0.0049259,0.0046819,
92,0.0049112,0.0047747,
93,0.0049271,0.0046892,
94,0.0048619,0.0047359,
95,0.0049256,0.004709,
96,0.0051467,0.0049505,
97,0.0051451,0.004907,
98,0.0052761,0.0050784,
99,0.0052221,0.0050045,
100,0.0059278,0.0058013,
101,0.0052452,0.0049985,
102,0.0055995,0.0053871,
103,0.0055766,0.0053417,
104,0.0054883,0.0052789,
105,0.0055868,0.0053204,
106,0.0054831,0.0052909,
107,0.0055453,0.0053408,
108,0.0057681,0.0055838,
109,0.0058763,0.0055959,
110,0.0058814,0.0057121,
111,0.0058543,0.0056085,
112,0.0059737,0.0058299,
