size,time F,time F_tail,time F_loop,,note: each time is the average of 100 runs
10,9.72E-05,0.0004744,0.0003985,,
11,9.42E-05,0.0004425,0.0003929,,
12,9.32E-05,0.0007965,0.0007232,,
13,9.37E-05,0.0007735,0.0007047,,
14,8.97E-05,0.0007513,0.0007188,,
15,9.16E-05,0.0007325,0.0007136,,
16,8.96E-05,0.0007417,0.0007238,,
17,9.47E-05,0.0007337,0.0007379,,
18,9.03E-05,0.0010543,0.0010429,,
19,9.08E-05,0.0010443,0.0010405,,
20,8.76E-05,0.001057,0.0010099,,
21,8.84E-05,0.0010498,0.0009703,,
22,9.06E-05,0.0010802,0.0009894,,
23,8.84E-05,0.0010467,0.000976,,
24,8.73E-05,0.0013947,0.0012863,,
25,8.92E-05,0.0013618,0.0012778,,
26,8.66E-05,0.0013788,0.0012898,,
27,8.81E-05,0.0013622,0.0012702,,
28,8.68E-05,0.0013681,0.0012898,,
29,8.78E-05,0.0013833,0.0012957,,
30,9.01E-05,0.0017045,0.0016,,
31,8.99E-05,0.0016952,0.0015965,,
32,8.83E-05,0.0016856,0.0016114,,
33,8.76E-05,0.0016806,0.001622,,
34,8.73E-05,0.0016947,0.0015945,,
35,9.17E-05,0.0016647,0.0015956,,
36,8.71E-05,0.0020354,0.0019024,,
37,8.69E-05,0.0020026,0.0019052,,
38,0.0002062,0.0020167,0.0019101,,
39,0.0002096,0.0020024,0.0019028,,
40,0.0002063,0.0020099,0.0019118,,
41,0.0003303,0.0020269,0.001901,,
42,0.0003226,0.0023376,0.002242,,
43,0.0003278,0.00233,0.0022071,,
44,0.0003248,0.0023471,0.0022313,,
45,0.0004461,0.0023187,0.0022081,,
46,0.0004491,0.0023453,0.002234,,
47,0.0004468,0.0023315,0.0022057,,
48,0.0005668,0.002665,0.0025581,,
49,0.0005727,0.0026534,0.00254,,
50,0.0005619,0.0026643,0.0025528,,
51,0.0005635,0.0026422,0.0025228,,
52,0.0008058,0.0026765,0.0025313,,
53,0.0008032,0.0026431,0.0025123,,
54,0.000815,0.0029933,0.0028607,,
55,0.0010476,0.0029571,0.0028204,,
56,0.0010612,0.0029877,0.0028791,,
57,0.0010424,0.0029694,0.0028248,,
58,0.0010441,0.0029842,0.0028612,,
59,0.0015318,0.0029855,0.00281,,
60,0.0015203,0.0033222,0.003186,,
61,0.0015235,0.0032871,0.0031153,,
62,0.0020128,0.0033438,0.0031,,
63,0.0019699,0.0032807,0.0031176,,
64,0.0019884,0.0032995,0.0031468,,
65,0.0019882,0.0032689,0.0031226,,
66,0.002968,0.0036379,0.0034533,,
67,0.0029398,0.0036035,0.0034485,,
68,0.0031479,0.0037727,0.0034562,,
69,0.0039513,0.0036279,0.0034897,,
70,0.0040175,0.0036969,0.003555,,
71,0.0039055,0.0037218,0.0034703,,
72,0.0039071,0.0039445,0.0037974,,
73,0.0058153,0.003911,0.0037234,,
74,0.0058056,0.0039327,0.0037665,,
75,0.0057932,0.003901,0.0037397,,
76,0.007606,0.0049795,0.0047265,,
77,0.0096925,0.0046903,0.0037001,,
78,0.0076255,0.0042711,0.0041111,,
79,0.0077721,0.0044425,0.0040254,,
80,0.0113632,0.0043477,0.0041504,,
81,0.0115592,0.0043199,0.0041055,,
82,0.0117085,0.0043579,0.0041381,,
83,0.0149649,0.0041891,0.0040264,,
84,0.0149124,0.0046361,0.0044722,,
85,0.015069,0.0045372,0.0043274,,
86,0.0147845,0.0045245,0.0043603,,
87,0.0220336,0.0045433,0.0043932,,
88,0.0224634,0.004513,0.0043567,,
89,0.0221737,0.0046236,0.0044055,,
90,0.0292799,0.0048976,0.0047685,,
91,0.0297522,0.0049259,0.0046819,,
92,0.0297529,0.0049112,0.0047747,,
93,0.029895,0.0049271,0.0046892,,
94,0.0437176,0.0048619,0.0047359,,
95,0.04406,0.0049256,0.004709,,
96,0.0435179,0.0051467,0.0049505,,
97,0.056394,0.0051451,0.004907,,
98,0.0578701,0.0052761,0.0050784,,
99,0.0581285,0.0052221,0.0050045,,
100,0.0582467,0.0059278,0.0058013,,
101,0.0840384,0.0052452,0.0049985,,
102,0.087245,0.0055995,0.0053871,,
103,0.0855025,0.0055766,0.0053417,,
104,0.1142272,0.0054883,0.0052789,,
105,0.1116451,0.0055868,0.0053204,,
106,0.1133001,0.0054831,0.0052909,,
107,0.1126109,0.0055453,0.0053408,,
108,0.1658318,0.0057681,0.0055838,,
